time,.x,.y,.z
2019/02/15/16:35:19.021060,0.507224559784,-0.220701724291,-0.0735170021653
2019/02/15/16:35:19.124789,0.5150141716,-0.21786570549,-0.0736590027809
2019/02/15/16:35:19.228580,0.520398855209,-0.21713373065,-0.0732960030437
2019/02/15/16:35:19.335558,0.513433277607,-0.21840390563,-0.0713080018759
2019/02/15/16:35:19.437801,0.517806708813,-0.216936096549,-0.0699129998684
2019/02/15/16:35:19.518074,0.523399353027,-0.212624460459,-0.0634739995003
2019/02/15/16:35:19.629131,0.529005944729,-0.216244488955,-0.0643619969487
2019/02/15/16:35:19.746423,0.520635783672,-0.224631652236,-0.0634180009365
2019/02/15/16:35:19.854333,0.521981656551,-0.225679323077,-0.0661080032587
2019/02/15/16:35:19.973437,0.516541779041,-0.221643000841,-0.0619370006025
2019/02/15/16:35:20.080067,0.521990776062,-0.218436807394,-0.0527280010283
2019/02/15/16:35:20.199778,0.527212798595,-0.213036864996,-0.0435740016401
2019/02/15/16:35:20.301364,0.545228600502,-0.208561241627,-0.0303440000862
2019/02/15/16:35:20.400078,0.550706148148,-0.211954593658,-0.0344329997897
2019/02/15/16:35:20.551266,0.553316473961,-0.213133454323,-0.0329420007765
2019/02/15/16:35:20.659339,0.56040585041,-0.219632163644,-0.0518639981747
2019/02/15/16:35:20.778923,0.572508752346,-0.224538996816,-0.0567220002413
2019/02/15/16:35:20.891880,0.593133151531,-0.223542138934,-0.0694800019264
2019/02/15/16:35:21.003719,0.602755486965,-0.21927139163,-0.0665739998221
2019/02/15/16:35:21.103170,0.601245045662,-0.214131787419,-0.0564510002732
2019/02/15/16:35:21.221884,0.605455160141,-0.209690347314,-0.056455001235
2019/02/15/16:35:21.334321,0.605685114861,-0.211228609085,-0.0396040007472
2019/02/15/16:35:21.474634,0.600494980812,-0.216191411018,-0.0241899993271
2019/02/15/16:35:21.595718,0.606047272682,-0.217696487904,-0.0103529999033
2019/02/15/16:35:21.704142,0.626336336136,-0.219711154699,-0.0145669998601
2019/02/15/16:35:21.806111,0.634773015976,-0.215174883604,-0.0295199993998
2019/02/15/16:35:21.926400,0.633977949619,-0.228641599417,-0.0508570000529
2019/02/15/16:35:22.026974,0.644075632095,-0.231161445379,-0.0832049995661
2019/02/15/16:35:22.133903,0.652027010918,-0.226518809795,-0.0859630033374
2019/02/15/16:35:22.253697,0.656290411949,-0.227753967047,-0.0764880031347
2019/02/15/16:35:22.371911,0.64662104845,-0.24351452291,-0.0292169991881
2019/02/15/16:35:22.508020,0.634860515594,-0.242423385382,-0.00295399990864
2019/02/15/16:35:22.629161,0.626615345478,-0.240106716752,0.00812199991196
2019/02/15/16:35:22.727686,0.619178712368,-0.253847688437,0.000882999971509
2019/02/15/16:35:22.829054,0.621950924397,-0.251986145973,0.00638800021261
2019/02/15/16:35:22.946064,0.639383375645,-0.244527980685,0.00396199990064
2019/02/15/16:35:23.054978,0.645424962044,-0.241817429662,-0.0120109999552
2019/02/15/16:35:23.172416,0.659525156021,-0.249552726746,-0.0243239998817
2019/02/15/16:35:23.281774,0.668659329414,-0.24833996594,-0.0389980003238
2019/02/15/16:35:23.391432,0.667198300362,-0.251386970282,-0.044769000262
2019/02/15/16:35:23.545925,0.673798203468,-0.23991034925,-0.0383309982717
2019/02/15/16:35:23.656900,0.664604902267,-0.233618229628,-0.0194899998605
2019/02/15/16:35:23.771144,0.659854114056,-0.232106804848,-0.00784999970347
2019/02/15/16:35:23.879427,0.665664553642,-0.241468131542,0.000197999994271
2019/02/15/16:35:23.996764,0.66401797533,-0.236137956381,0.0163909997791
2019/02/15/16:35:24.111650,0.666950941086,-0.230448305607,0.0245970003307
2019/02/15/16:35:24.223662,0.662821531296,-0.226770281792,0.0254890006036
2019/02/15/16:35:24.335694,0.653414845467,-0.232151016593,0.0196059998125
2019/02/15/16:35:24.472383,0.656630992889,-0.238402426243,-0.00451799994335
2019/02/15/16:35:24.576117,0.674985945225,-0.244057327509,-0.0406530015171
2019/02/15/16:35:24.677128,0.672203123569,-0.253872007132,-0.060734000057
2019/02/15/16:35:24.784756,0.666398942471,-0.242821887136,-0.0694020017982
2019/02/15/16:35:24.899208,0.682762265205,-0.243558391929,-0.0696659982204
2019/02/15/16:35:25.001241,0.685045480728,-0.233498930931,-0.0546390004456
2019/02/15/16:35:25.104456,0.683869123459,-0.238740518689,-0.0312599986792
2019/02/15/16:35:25.209800,0.677915632725,-0.241684436798,-0.0170620009303
2019/02/15/16:35:25.332505,0.671133935452,-0.260853081942,-0.00162100000307
2019/02/15/16:35:25.473299,0.655081629753,-0.272924989462,0.00791800022125
2019/02/15/16:35:25.577734,0.657756507397,-0.285888880491,0.0177439991385
2019/02/15/16:35:25.686074,0.661563873291,-0.291990429163,0.023899000138
2019/02/15/16:35:25.804602,0.663971483707,-0.285494267941,0.0250720009208
2019/02/15/16:35:25.905432,0.658077478409,-0.275788098574,0.0238729994744
2019/02/15/16:35:26.027868,0.65552097559,-0.277310669422,0.0165250003338
2019/02/15/16:35:26.133076,0.646254003048,-0.292204737663,0.00629500020295
2019/02/15/16:35:26.253026,0.643530011177,-0.295457363129,-0.0109339999035
2019/02/15/16:35:26.372372,0.634033381939,-0.292963564396,-0.028823999688
2019/02/15/16:35:26.506732,0.615603744984,-0.297612220049,-0.0329709984362
2019/02/15/16:35:26.627644,0.615671694279,-0.301924556494,-0.0335489995778
2019/02/15/16:35:26.730165,0.61141115427,-0.305059611797,-0.0285100005567
2019/02/15/16:35:26.846785,0.612170696259,-0.303532779217,-0.0194639991969
2019/02/15/16:35:26.955221,0.610397160053,-0.309871405363,-0.00651200022548
2019/02/15/16:35:27.073471,0.606234192848,-0.308254957199,0.00419700006023
2019/02/15/16:35:27.176376,0.608692705631,-0.317926436663,0.0166539996862
2019/02/15/16:35:27.277600,0.61658424139,-0.306548476219,0.0274689998478
2019/02/15/16:35:27.380175,0.611231565475,-0.313773751259,0.0252989996225
2019/02/15/16:35:27.527664,0.62582474947,-0.31770503521,0.0198669992387
2019/02/15/16:35:27.630220,0.631080210209,-0.328505367041,0.0126069998369
2019/02/15/16:35:27.747089,0.629549384117,-0.326097548008,0.00486700003967
2019/02/15/16:35:27.856958,0.630100309849,-0.322153061628,-0.0019340000581
2019/02/15/16:35:27.974096,0.642954647541,-0.328685760498,-0.00650699995458
2019/02/15/16:35:28.082633,0.644358336926,-0.330155044794,-0.00636600004509
2019/02/15/16:35:28.201454,0.646791696548,-0.332646250725,-0.00595899997279
2019/02/15/16:35:28.302749,0.650260269642,-0.354945868254,-0.0111330002546
2019/02/15/16:35:28.400706,0.648996055126,-0.357332140207,-0.0139180002734
2019/02/15/16:35:28.559784,0.646562159061,-0.346582472324,-0.0155710000545
2019/02/15/16:35:28.657229,0.639791250229,-0.347547352314,-0.0169799998403
2019/02/15/16:35:28.784118,0.639411509037,-0.357823878527,-0.0077220001258
2019/02/15/16:35:28.886559,0.644112467766,-0.360838294029,-0.00079999997979
2019/02/15/16:35:29.005070,0.643797338009,-0.35904020071,0.00542599987239
2019/02/15/16:35:29.110897,0.642282485962,-0.341048419476,0.020088000223
2019/02/15/16:35:29.229478,0.642192840576,-0.348317831755,0.0222059991211
2019/02/15/16:35:29.347446,0.641117215157,-0.356793582439,0.0157319996506
2019/02/15/16:35:29.483041,0.640770196915,-0.36092042923,0.0125350002199
2019/02/15/16:35:29.602178,0.635757267475,-0.356144160032,0.00503099989146
2019/02/15/16:35:29.709704,0.653825700283,-0.338930785656,0.00923399999738
2019/02/15/16:35:29.828878,0.658620238304,-0.338816225529,0.00218100007623
2019/02/15/16:35:29.929071,0.656141042709,-0.345173954964,-0.00229700002819
2019/02/15/16:35:30.045914,0.65524148941,-0.347430229187,0.00401799986139
2019/02/15/16:35:30.149732,0.649107992649,-0.328456670046,0.00855199992657
